label,fontcolor,bold,italic,alignment,outlinelevel,wordobjecttype,imarkerstype,imarkerspos,punctuation,keyword,fontsize,characount,sentencount,firstlineindent,spacebefore,spaceafter,linespacing,wordobjectwidth,wordobjectheight
1,4,0,0,6,0,1,1,1,0,1,0.8823529411764706,0.03690036900369004,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
2,4,0,0,2,0,1,1,1,0,1,1.0,0.1033210332103321,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
3,4,0,0,2,0,1,1,1,0,1,0.2941176470588235,0.04059040590405904,0.0,-1.0,0.578125,0.0,0.36363636363636376,0.0,0.0
4,4,0,0,2,0,1,1,1,0,1,0.2941176470588235,0.03690036900369004,0.0,0.31041666666666656,0.0,0.0,0.0,0.0,0.0
5,4,0,0,2,1,1,1,1,0,1,0.4117647058823529,0.01107011070110701,0.0,-1.0,1.0,1.0,0.5,0.0,0.0
6,3,0,0,5,0,1,1,1,0,1,0.08823529411764705,0.014760147601476013,0.0,-1.0,0.121875,0.13928571428571426,0.0,0.0,0.0
7,4,0,0,2,1,1,1,1,0,1,0.4117647058823529,0.01107011070110701,0.0,-1.0,1.0,1.0,0.0,0.0,0.0
8,4,0,0,3,0,1,1,1,0,1,0.08823529411764705,0.9999999999999999,0.75,-0.11458333333333337,0.0,0.0,0.1636363636363637,0.0,0.0
9,4,0,0,2,1,1,1,1,0,1,0.4117647058823529,0.1033210332103321,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
10,4,0,0,3,2,1,5,2,0,1,0.08823529411764705,0.003690036900369003,0.0,-1.0,0.4875,0.557142857142857,0.0,0.0,0.0
11,4,0,0,3,0,1,1,1,0,1,0.08823529411764705,0.2656826568265682,0.0,-0.11458333333333337,0.078125,0.08928571428571427,0.0,0.0,0.0
11,4,0,0,3,0,1,1,1,0,1,0.08823529411764705,0.0996309963099631,0.0,-0.11458333333333337,0.078125,0.08928571428571427,0.0,0.0,0.0
10,4,0,0,3,2,1,5,2,0,1,0.08823529411764705,0.02214022140221402,0.0,-1.0,0.4875,0.557142857142857,0.0,0.0,0.0
11,4,0,0,3,0,1,1,1,0,1,0.08823529411764705,0.2878228782287823,0.5,-0.125,0.0,0.0,0.0,0.0,0.0
10,4,0,0,3,2,1,5,2,0,1,0.08823529411764705,0.014760147601476013,0.0,-1.0,0.4875,0.557142857142857,0.0,0.0,0.0
11,4,0,0,3,0,1,1,1,0,1,0.08823529411764705,0.04797047970479705,0.0,-0.125,0.0,0.0,0.0,0.0,0.0
12,4,3,0,5,3,1,6,2,0,1,0.08823529411764705,0.0959409594095941,0.0,-1.0,0.24375,0.2785714285714285,0.0,0.0,0.0
11,4,0,0,3,0,1,1,1,0,1,0.08823529411764705,0.1033210332103321,0.0,-0.125,0.0,0.0,0.0,0.0,0.0
12,4,3,0,5,3,1,6,2,0,1,0.08823529411764705,0.11070110701107011,0.0,-1.0,0.24375,0.2785714285714285,0.0,0.0,0.0
