label,fontcolor,bold,italic,alignment,outlinelevel,wordobjecttype,imarkerstype,imarkerspos,punctuation,keyword,fontsize,characount,sentencount,firstlineindent,spacebefore,spaceafter,linespacing,wordobjectwidth,wordobjectheight
1,4,3,0,2,0,1,1,1,0,1,1.0,0.03184713375796179,0.0,-1.0,0.0,0.0,0.5,0.0,0.0
2,4,3,0,2,0,1,1,1,0,1,0.2727272727272727,0.09872611464968153,0.0,0.6112012987012985,0.0,0.0,0.0,0.0,0.0
3,4,3,0,3,0,1,1,1,0,1,0.2727272727272727,0.0031847133757961776,0.0,0.6112012987012985,0.0,0.0,0.5,0.0,0.0
4,4,0,0,3,0,1,1,1,0,1,0.0,1.0,0.75,0.964285714285714,0.0,0.0,0.5,0.0,0.0
3,4,3,0,3,0,1,1,1,0,1,0.2727272727272727,0.009554140127388536,0.0,0.6112012987012985,0.0,0.0,0.5,0.0,0.0
4,3,0,0,3,0,1,1,1,0,1,0.0,0.3694267515923567,0.5,0.9521103896103893,0.0,0.0,0.5,0.0,0.0
3,4,3,0,3,0,1,1,1,0,1,0.2727272727272727,0.02547770700636943,0.0,0.6112012987012985,0.0,0.0,0.5,0.0,0.0
4,4,0,0,3,0,1,1,1,0,1,0.0,0.49044585987261147,1.0,0.9999999999999998,0.0,0.0,1.0,0.0,0.0
4,4,0,0,3,0,1,1,1,0,1,0.0,0.0031847133757961776,0.0,0.9521103896103893,0.0,0.0,0.5,0.0,0.0
4,4,0,0,3,0,1,1,1,0,1,0.0,0.0,0.0,0.9521103896103893,0.0,0.0,0.5,0.0,0.0
4,4,0,0,3,0,1,1,1,0,1,0.0,0.006369426751592359,0.0,0.9521103896103893,0.0,0.0,0.5,0.0,0.0
3,4,3,0,3,0,1,1,1,0,1,0.2727272727272727,0.022292993630573247,0.0,0.6112012987012985,0.0,0.0,0.5,0.0,0.0
4,4,0,0,3,0,1,1,1,0,1,0.0,0.022292993630573247,0.0,0.9521103896103893,0.0,0.0,0.5,0.0,0.0
5,4,3,0,3,0,1,1,1,0,1,0.2727272727272727,0.009554140127388536,0.0,0.6112012987012985,0.0,0.0,0.5,0.0,0.0
6,4,0,0,3,0,1,4,2,0,1,0.0,0.19745222929936307,1.0,0.9521103896103893,0.0,0.0,0.5,0.0,0.0
